Open,CLose,High,Low,Volume,Time
3.000811999999999898e+04,3.017043000000000029e+04,2.996361999999999898e+04,3.014522000000000116e+04,1.631385639999999967e+03,1.687510800000000000e+12
3.014520999999999913e+04,3.019500000000000000e+04,2.993800000000000000e+04,3.007599000000000160e+04,2.211529849999999897e+03,1.687514400000000000e+12
3.007600000000000000e+04,3.015000000000000000e+04,3.003865000000000146e+04,3.014086999999999898e+04,1.156058199999999943e+03,1.687518000000000000e+12
3.014086000000000058e+04,3.023086999999999898e+04,2.999600000000000000e+04,3.010650000000000000e+04,3.104113539999999830e+03,1.687521600000000000e+12
3.010650999999999840e+04,3.018179999999999927e+04,2.991106999999999971e+04,3.007781999999999971e+04,2.448787850000000162e+03,1.687525200000000000e+12
3.007781999999999971e+04,3.035629999999999927e+04,3.001061000000000058e+04,3.028204000000000087e+04,4.001962889999999788e+03,1.687528800000000000e+12
3.028204999999999927e+04,3.140000000000000000e+04,3.025200000000000000e+04,3.123800000000000000e+04,1.652862191000000166e+04,1.687532400000000000e+12
3.123800999999999840e+04,3.143193999999999869e+04,3.066666999999999825e+04,3.109702000000000044e+04,1.175658344000000034e+04,1.687536000000000000e+12
3.109702000000000044e+04,3.128661000000000058e+04,3.100718000000000029e+04,3.124109999999999854e+04,5.100617280000000392e+03,1.687539600000000000e+12
3.124109999999999854e+04,3.127190999999999985e+04,3.088077999999999884e+04,3.094368000000000029e+04,5.050672810000000027e+03,1.687543200000000000e+12
3.094368999999999869e+04,3.094441999999999825e+04,3.061533000000000175e+04,3.088086999999999898e+04,3.979103210000000217e+03,1.687546800000000000e+12
3.088088000000000102e+04,3.095000000000000000e+04,3.078850999999999840e+04,3.090606999999999971e+04,1.641732160000000022e+03,1.687550400000000000e+12
3.090606999999999971e+04,3.091900000000000000e+04,3.054068999999999869e+04,3.065979999999999927e+04,1.810411110000000008e+03,1.687554000000000000e+12
3.065979999999999927e+04,3.066934999999999854e+04,3.045309999999999854e+04,3.064416999999999825e+04,2.299679070000000138e+03,1.687557600000000000e+12
3.064416999999999825e+04,3.069131999999999971e+04,3.052250000000000000e+04,3.068850000000000000e+04,1.216141409999999951e+03,1.687561200000000000e+12
3.068850999999999840e+04,3.069415999999999985e+04,3.045931999999999971e+04,3.048820000000000073e+04,1.984034300000000030e+03,1.687564800000000000e+12
3.048820000000000073e+04,3.062988000000000102e+04,3.041000000000000000e+04,3.060529999999999927e+04,1.586325749999999971e+03,1.687568400000000000e+12
3.060531000000000131e+04,3.079411000000000058e+04,3.058000999999999840e+04,3.075659999999999854e+04,1.600852370000000064e+03,1.687572000000000000e+12
3.075661000000000058e+04,3.077983000000000175e+04,3.070279999999999927e+04,3.073000999999999840e+04,8.777962400000000116e+02,1.687575600000000000e+12
3.073000000000000000e+04,3.075334999999999854e+04,3.065534999999999854e+04,3.070368000000000029e+04,6.589558500000000549e+02,1.687579200000000000e+12
3.070368999999999869e+04,3.075608000000000175e+04,3.067613000000000102e+04,3.072500999999999840e+04,7.086725400000000263e+02,1.687582800000000000e+12
3.072500999999999840e+04,3.078800000000000000e+04,3.063140999999999985e+04,3.069793999999999869e+04,1.084981950000000097e+03,1.687586400000000000e+12
3.069795000000000073e+04,3.069795000000000073e+04,3.055200999999999840e+04,3.056758000000000175e+04,1.134607150000000047e+03,1.687590000000000000e+12
3.056758000000000175e+04,3.066543000000000029e+04,3.055277999999999884e+04,3.060881999999999971e+04,1.085543709999999919e+03,1.687593600000000000e+12
3.060881000000000131e+04,3.063720999999999913e+04,3.057475000000000000e+04,3.062163000000000102e+04,6.545876500000000533e+02,1.687597200000000000e+12
3.062163999999999942e+04,3.074272999999999956e+04,3.060500999999999840e+04,3.073997999999999956e+04,1.090056409999999914e+03,1.687600800000000000e+12
3.073999000000000160e+04,3.073999000000000160e+04,3.065640000000000146e+04,3.068438000000000102e+04,6.479042200000000093e+02,1.687604400000000000e+12
3.068436999999999898e+04,3.080000000000000000e+04,3.065200000000000000e+04,3.069456999999999971e+04,1.254544450000000097e+03,1.687608000000000000e+12
3.069456000000000131e+04,3.072000000000000000e+04,3.052500000000000000e+04,3.064068999999999869e+04,1.409551690000000008e+03,1.687611600000000000e+12
3.064068999999999869e+04,3.072000000000000000e+04,3.060547999999999956e+04,3.068852999999999884e+04,9.849592400000000225e+02,1.687615200000000000e+12
3.068852000000000044e+04,3.069795999999999913e+04,3.028206999999999971e+04,3.039870999999999913e+04,3.770284380000000056e+03,1.687618800000000000e+12
3.039872000000000116e+04,3.051325000000000000e+04,3.025000000000000000e+04,3.051000999999999840e+04,2.499128929999999855e+03,1.687622400000000000e+12
